model,horizon_hours,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max,mae_cv_percent,rmse_cv_percent
catboost,1,9.905342552589373,0.200062439713852,9.73632381642659,10.126231830861784,18.56295610249697,1.0079375801753945,17.467062206511564,19.450315177683557,2.019742766609857,5.429833344484466
catboost,3,22.0678186875228,0.3806400782460805,21.629742114601832,22.317736681892324,37.096873498106106,3.2766166132214183,33.830170578187854,40.383314627377445,1.7248649884063774,8.832595052487909
catboost,6,35.492024002729615,2.8658536922065703,33.485834467312166,38.77426774453375,54.00422675977967,3.6479737480578485,49.884598862139086,56.82510046660537,8.074641479973538,6.754978206214634
catboost,12,53.11497361113172,3.6165671400778616,50.09669396119959,57.12352313536582,75.79490747777824,5.629332012783403,69.71173989736882,80.82034687050042,6.808940858289176,7.427058360660742
catboost,24,68.47124002653975,5.549926665813501,62.06889006440341,71.91556561455211,91.85202461079001,3.3708477628114424,87.95979940620434,93.82162886355582,8.10548584144573,3.6698676780342447
lightgbm,1,10.121438133392605,0.44297943993463473,9.86555873275214,10.632946710774975,18.64904139001513,0.7751651083006993,17.95559297427395,19.48589610719561,4.376645236541623,4.156594926727601
lightgbm,3,24.065780496403743,1.8349292053509727,22.86463854388453,26.177942917490192,40.46959713462929,3.533260419650743,36.44565980888663,43.06455421242996,7.624640329554965,8.73065379894128
lightgbm,6,37.765840223661264,1.9880580440458229,36.422424569937455,40.04962763059751,58.72800572943299,4.003482972239295,54.12960424025346,61.438185448233845,5.264170033744552,6.816991182509797
lightgbm,12,49.32040766213249,4.009130749056121,45.61841369742816,53.578593851214535,72.80497180758486,4.362247260855736,69.12023509610971,77.62160270892494,8.128746170389576,5.991688689042627
lightgbm,24,68.05096037092227,11.831122591203654,55.382587962419805,78.81343260452047,91.33860771482631,7.276604493478515,83.87165824577967,98.40861840368008,17.3856805645597,7.966625149572274
xgboost,1,10.026162601910176,0.2640308060656862,9.74861190373893,10.274192122587488,18.9516616030209,1.3649580028861032,17.72728429328556,20.423376582207236,2.633418353053473,7.202313081975507
xgboost,3,21.51249254863761,0.45970042276107187,21.07777495045044,21.993650392567396,37.07772116648274,3.468147028831401,33.71417004285967,40.64176575600327,2.1368998581718732,9.353722180656865
xgboost,6,33.95797151472354,1.9380529048508335,32.81381959238947,36.19565137417047,53.82971436358633,1.33422724246614,52.32775345787445,54.87775947745676,5.707210467534936,2.4786073235578825
xgboost,12,49.503660929782676,6.9549865738080205,43.72497010028084,57.22279800304469,72.69573836510382,6.942205656276073,68.16784224570512,80.68837186938661,14.049438855993216,9.549673491738746
xgboost,24,67.71738359911029,14.261352133695148,52.97098713293335,81.43833798126391,91.1058505162891,11.587173936781547,80.44310796243994,103.43665325326673,21.06010506566961,12.718364266529557
