station,mean_PM2.5,mean_PM10,mean_SO2,mean_NO2,mean_CO,mean_O3,mean_TEMP,mean_PRES,mean_DEWP,mean_RAIN,mean_WSPM,rows,missing_rows
Dongsi,86.19429678848283,110.33674190837704,18.531106607366063,53.69944280249828,1330.0691310760349,57.21063690116279,13.67148962279619,1012.5474191968289,2.447534528021915,0.0640195183198265,1.8607845934379457,35064,4662
Wanshouxigong,85.02413582402235,112.22345864661656,17.148603110917286,55.52956013698631,1370.3950306512274,56.22990353675043,13.784476596983012,1011.5118036334331,2.7074418604651163,0.0643201597945498,1.7453139710707255,35064,2235
Nongzhanguan,84.83848298292484,108.99109577171905,18.689242012825694,58.09717238740836,1324.3501978852855,58.53468229064182,13.671489622796194,1012.5474191968192,2.447534528021915,0.0640195183198265,1.8607845934379457,35064,1888
Gucheng,83.85208902318554,118.86197849090333,15.366161622826056,55.87107495348296,1323.9744229569558,57.694878835008005,13.86452447802841,1008.8295917481483,2.6104418358895267,0.0644527569172782,1.3433099194791849,35064,2449
Wanliu,83.37471599100398,110.46461759631973,18.37648057061672,65.25878926575278,1319.3535125706724,48.87361389082744,13.42886511265656,1011.0975357170032,3.2665877182969982,0.0682627553932199,1.5012154065620542,35064,4327
Guanyuan,82.93337203901532,109.02330301717916,17.59094149754264,57.901642517076006,1271.294377232746,55.79504428314302,13.584607417568476,1011.8469198246108,3.1230624357950005,0.0674209565118137,1.7084964336661912,35064,2736
Aotizhongxin,82.77361082632765,110.06039131194318,17.375901409358608,59.30583318645163,1262.9451453977408,56.353358410556304,13.58460741756848,1011.8469198246016,3.1230624357950005,0.0674209565118137,1.7084964336661912,35064,3188
Tiantan,82.16491115828656,106.36367249833174,14.367615106345372,53.162645574009325,1298.303317814839,55.98429658981328,13.67148962279619,1012.5474191968289,2.447534528021915,0.0640195183198265,1.8607845934379457,35064,2157
Shunyi,79.49160200286961,98.7370263066404,13.572038687514809,43.90886473782605,1187.0639785927142,55.20132076247208,13.387969092205662,1013.0619382209264,2.465035704084547,0.0610944506326221,1.8075328383780696,35064,4477
Changping,71.09974336541266,94.657870773157,14.958905587176211,44.182085507457046,1152.3013445428255,57.94000261752756,13.68611128792629,1007.7602777936444,1.505495415726486,0.0603661497158198,1.8538362696667712,35064,2290
